iter	Passed	Remaining
404	8468	12441
405	8489	12420
406	8512	12402
407	8540	12392
408	8583	12402
409	8609	12389
410	8635	12375
411	8674	12379
412	8712	12383
413	8744	12377
414	8779	12375
415	8804	12360
416	8826	12339
417	8845	12315
418	8865	12293
419	8885	12271
420	8905	12248
421	8928	12228
422	8948	12206
423	8967	12182
424	8987	12159
425	9007	12136
426	9027	12114
427	9049	12094
428	9072	12075
429	9093	12053
430	9113	12030
431	9134	12010
432	9155	11989
433	9175	11966
434	9197	11946
435	9218	11925
436	9239	11903
437	9259	11880
438	9282	11862
439	9306	11844
440	9330	11827
441	9354	11809
442	9380	11793
443	9404	11776
444	9427	11757
445	9449	11738
446	9470	11716
447	9492	11695
448	9513	11674
449	9536	11655
450	9558	11635
451	9578	11613
452	9598	11590
453	9618	11568
454	9640	11547
455	9662	11527
456	9683	11506
457	9704	11484
458	9725	11463
459	9747	11442
460	9769	11422
461	9791	11401
462	9814	11382
463	9835	11362
464	9858	11342
465	9881	11323
466	9907	11307
467	9927	11285
468	9949	11264
469	9972	11245
470	9994	11224
471	10016	11205
472	10039	11185
473	10064	11168
474	10089	11151
475	10113	11133
476	10137	11114
477	10160	11095
478	10183	11076
479	10207	11058
480	10233	11042
481	10257	11024
482	10282	11006
483	10305	10986
484	10329	10967
485	10353	10949
486	10377	10931
487	10398	10909
488	10419	10888
489	10440	10867
490	10465	10849
491	10486	10827
492	10505	10804
493	10527	10783
494	10548	10761
495	10571	10741
496	10592	10720
497	10614	10699
498	10636	10679
499	10657	10657
500	10680	10638
501	10703	10618
502	10728	10600
503	10754	10583
504	10774	10560
505	10798	10542
506	10820	10521
507	10843	10501
508	10865	10481
509	10886	10459
510	10908	10438
511	10929	10417
512	10950	10395
513	10974	10376
514	10999	10359
515	11022	10339
516	11044	10318
517	11068	10298
518	11089	10277
519	11115	10260
520	11139	10241
521	11167	10226
522	11190	10206
523	11221	10193
524	11246	10175
525	11272	10158
526	11295	10137
527	11320	10120
528	11346	10102
529	11375	10087
530	11403	10072
531	11426	10051
532	11450	10032
533	11471	10010
534	11493	9989
535	11514	9968
536	11535	9945
537	11555	9922
538	11578	9902
539	11599	9880
540	11619	9858
541	11641	9837
542	11661	9814
543	11683	9793
544	11705	9772
545	11724	9749
546	11746	9727
547	11767	9705
548	11787	9683
549	11808	9661
550	11829	9639
551	11850	9618
552	11871	9595
553	11893	9574
554	11916	9554
555	11936	9532
556	11959	9512
557	11979	9489
558	11999	9466
559	12021	9445
560	12042	9423
561	12065	9403
562	12086	9381
563	12108	9360
564	12129	9338
565	12151	9317
566	12175	9298
567	12196	9276
568	12221	9257
569	12243	9236
570	12263	9213
571	12285	9192
572	12306	9171
573	12328	9149
574	12349	9128
575	12370	9105
576	12391	9084
577	12412	9062
578	12433	9040
579	12453	9017
580	12475	8996
581	12495	8974
582	12519	8955
